fichier,n,ok,marge_max,prouvee,marge,cout,boites,sortie,temps,temps_phase1
2026-07-16-4,14,True,4.3434,False,0.6308,16.8067,1.9033,13,2.401888847351074,0.8194
2026-07-17-1,11,True,6.4224,False,0.5873,31.4893,4.2447,23,2.353301763534546,0.7789
2026-07-18-12,17,True,3.0095,False,0.5524,31.4413,6.7207,18,2.675727128982544,0.7567
2026-07-18-13,18,True,2.6591,False,0.5593,51.3227,12.1613,27,2.6170573234558105,0.8655
2026-07-18-14,15,True,4.4069,False,0.6221,30.172,6.586,17,2.390131711959839,0.7416
2026-07-18-15,16,True,2.9934,False,0.5155,38.1133,8.5567,21,2.5998971462249756,0.7351
2026-07-18-16,16,True,3.9311,False,0.5037,31.8933,4.4467,23,2.4718008041381836,0.7202
2026-07-18-17,9,True,7.4085,False,0.5287,22.4573,2.7287,17,2.100391387939453,0.5935
2026-07-18-3,17,True,2.6829,False,0.5935,37.8813,5.4407,27,2.399991273880005,0.7658
2026-07-18-6,17,True,2.7662,False,0.5036,41.7693,4.8847,32,2.50935435295105,0.8309
2026-07-18-7,19,True,3.3295,False,0.5018,45.4187,7.2093,31,2.670846462249756,1.0801
2026-07-18-9,15,True,2.7329,False,0.5078,33.9893,8.9947,16,2.420091152191162,0.7861
2026-07-19-10,16,True,3.0628,False,0.5179,31.532,6.266,19,2.2096238136291504,0.6459
2026-07-19-12,15,True,4.125,False,0.51,27.904,4.952,18,2.32692813873291,0.7059
2026-07-19-14,11,True,5.8884,False,0.5008,30.4787,3.7393,23,2.3782620429992676,0.7828
2026-07-19-3,15,True,2.9137,False,0.5246,35.2853,5.6427,24,2.256903648376465,0.5727
2026-07-19-4,15,True,3.7763,False,0.5001,32.2853,5.6427,21,2.1494195461273193,0.6124
2026-07-19-5,17,True,2.6003,False,0.5279,41.484,8.742,24,2.1592013835906982,0.5081
2026-07-19-6,17,True,2.8529,False,0.569,37.484,8.742,20,2.368133306503296,0.8084
2026-07-19-7,18,True,2.6785,False,0.6704,61.36,9.18,43,2.6723110675811768,0.8959
2026-07-19-8,15,True,2.961,False,0.5432,31.8613,2.9307,26,2.5606343746185303,0.8906
2026-07-20-10,19,True,2.9798,False,0.5796,43.0707,6.5353,30,2.8418445587158203,1.1337
2026-07-20-11,10,True,8.0991,False,0.5241,26.4787,3.7393,19,2.3538851737976074,0.7514
2026-07-20-12,15,True,3.4048,False,0.6581,28.8933,4.4467,20,2.7373905181884766,0.8533
2026-07-20-15,20,True,2.8566,False,0.567,50.34,4.67,41,3.1260218620300293,1.5844
2026-07-20-2,16,True,3.0884,False,0.5046,34.3173,7.1587,20,2.407399892807007,0.8439
2026-07-20-3,13,True,5.0147,False,0.7297,26.7373,3.3687,20,2.455611228942871,0.7257
2026-07-20-4,14,True,4.6221,False,0.564,37.7693,4.8847,28,2.506439447402954,0.8915
2026-07-20-5,14,True,4.6836,False,0.5882,36.2053,6.6027,23,1.9524521827697754,0.4401
2026-07-20-6,16,True,3.981,False,0.6144,28.544,5.272,18,2.135613203048706,0.5245
2026-07-20-7,17,True,4.1085,False,0.8777,32.856,7.428,18,2.5914487838745117,0.7267
2026-07-20-8,12,True,6.8583,False,0.5114,25.7587,4.3793,17,2.7889013290405273,1.0572
2026-07-20-9,18,True,3.7902,False,0.5929,36.248,8.624,19,3.6481854915618896,1.639
2026-07-21-2,17,True,2.7152,False,0.5295,44.2587,9.1293,26,2.285057783126831,0.7432
2026-07-21-7,17,True,4.0239,False,0.5261,26.42,5.71,15,2.288848876953125,0.6107
2026-07-22-13,15,True,4.7137,False,0.5483,34.06,6.03,22,2.161874532699585,0.5481
2026-07-22-14,19,True,2.8071,False,0.5095,55.7493,9.8747,36,2.9051477909088135,1.3433
2026-07-22-15,16,True,4.542,False,0.7222,26.264,4.632,17,2.7968368530273438,0.9233
2026-07-22-2-2,14,True,4.0444,False,0.5096,22.1187,4.0593,14,2.3025150299072266,0.7733
2026-07-22-6,18,True,3.3325,False,0.5649,39.3827,8.6913,22,2.525233030319214,0.812
2026-07-22-7,20,True,2.8054,False,0.5038,56.8827,11.4413,34,3.3537368774414062,1.5091
2026-07-22-8,20,True,2.6119,False,0.7246,60.0973,10.5487,39,3.0879437923431396,1.1947
2026-07-23-12,17,True,2.7908,False,0.5205,39.7427,8.3713,23,3.009010076522827,0.9863
2026-07-23-14,19,True,2.7819,False,0.5591,43.5547,5.7773,32,3.2772703170776367,1.6818
2026-07-23-15,19,True,2.6306,False,0.5021,64.3293,13.6647,37,2.8704423904418945,1.2586
2026-07-23-2,17,True,2.9052,False,0.7578,35.5973,7.7987,20,2.7527806758880615,0.8913
2026-07-23-3,18,True,2.7267,False,0.5015,56.3227,12.1613,32,3.447944164276123,1.478
2026-07-23-4,18,True,2.7376,False,1.0947,68.3173,7.1587,54,2.993558406829834,1.4013
2026-07-23-5,20,True,2.6538,False,0.5568,50.28,8.14,34,6.106750726699829,4.475
2026-07-23-6,20,True,2.679,False,0.5319,56.2107,9.6053,37,3.280918598175049,1.3786
2026-07-23-7,19,True,2.9252,False,0.5337,52.1413,11.0707,30,2.7773635387420654,1.2136
2026-07-23-8,20,True,2.8151,False,0.631,56.28,10.14,36,6.241283893585205,4.5835
2026-07-24-3,17,True,3.1806,False,0.5102,38.1613,6.0807,26,2.629720449447632,0.9568
2026-07-24-4,18,True,2.7627,False,0.5597,39.4413,6.7207,26,2.552830219268799,0.8927
2026-07-24-5,17,True,3.2183,False,0.5069,31.8013,6.4007,19,2.5064544677734375,0.907
2026-07-24-6,17,True,3.6074,False,0.6058,30.8933,4.4467,22,2.882462739944458,0.8903
2026-07-26-1,16,True,2.7514,False,0.5304,38.5867,7.2933,24,2.5328190326690674,0.7914
2026-07-26-2,15,True,3.7651,False,0.5871,26.5333,4.7667,17,2.6298890113830566,0.8836
2026-07-26-3,15,True,3.9756,False,0.5439,30.0707,6.5353,17,2.623504638671875,0.806
2026-07-26-4,14,True,4.6293,False,0.639,36.9253,5.9627,25,2.5373551845550537,0.8328
2026-07-27-3,17,True,2.6384,False,0.5153,39.5053,9.7527,20,2.820065498352051,1.2648
2026-07-27-5,11,True,6.3037,False,0.5102,30.2533,4.1267,22,2.599574089050293,1.0168
2026-07-27-6,18,True,3.1203,False,0.531,51.8067,11.4033,29,3.0416204929351807,1.1131
2026-07-27-7,17,True,3.882,False,0.6715,37.2373,8.1187,21,2.325864791870117,0.7968
2026-07-28-1,16,True,2.8778,False,0.5156,35.0813,7.0407,21,2.5813965797424316,0.9107
2026-07-28-10,16,True,2.7924,False,0.565,40.7107,6.8553,27,2.5719993114471436,0.913
